TYPEANA;TYPEANA_LABEL
ACCCK.060;Temps temoin. . . . . . . . .
ACCCK.065;Temps temoin + malade. . . . .
ACCCK.070;Temps malade. . . . . . . . .
ACCCK.075;2H A 37 DEGRES ?
ACCCK.080;*LIGNE BLANCHE
ACCCK.085;*     APRES 2H.A 37 DEGRES
ACCCK.090;Temps temoin. . . . . . . . .
ACCCK.095;Temps temoin + malade. . . . .
ACCCK.100;Temps malade. . . . . . . . .
ACCCK.105;RECHERCHE D'INHIBITEUR
ACCF.ACCF-MAL;Temps Malade
ACCF.ACCF-ROSN;calcul
ACCF.ACCF-ROSN2;Rosner
ACCF.ACCF-TEM-MAL;Temps Témoin+Malade
ACCF.ACCF-TEM;Temps Témoin
ACCP.ACCPCOM;Commentaire
ACCP.ACCP;Dosage
ACCRE.ACCRE-CAT;         Conclusion
ACCRE.ACCRE-COM;Commentaire
ACCRE.ACCRE-COM2; Condition 
ACCRE.ACCRE-NORM; Normes
ACCTR.ACCTR-CONC;Conclusion
ACCTR.ACCTR-MAL;Malade
ACCTR.ACCTR-MEL;Témoin+Malade
ACCTR.ACCTR-TEM;Témoin
ACCTR.000;INHIBITEUR (T.DE REPTILASE)
ACCTR.005;INHIBITEUR (TEMPS DE REPTILASE)
ACCTR.010;---------------------------------
ACCTR.014;SANS INCUBATION
ACCTR.015;*LIGNE BLANCHE
ACCTR.016;*     SANS INCUBATION PREALABLE
ACCTR.020;temps temoin. . . . . . . . .
ACCTR.025;temps temoin+malade. . . . . .
ACCTR.030;temps malade. . . . . . . . .
ACCTR.034;1H A 37 DEGRES
ACCTR.035;*LIGNE BLANCHE
ACCTR.036;*     APRES 1H A 37 DEGRES
ACCTR.040;temps temoin. . . . . . . . .
ACCTR.045;temps temoin +malade. . . . .
ACCTR.050;temps malade. . . . . . . . .
ACCTR.055;RECHERCHE D'INHIBITEUR
ACCTT.ACCTT-CONC;Conclusion
ACCTT.ACCTT-MAL;Malade
ACCTT.ACCTT-MEL;Témoin+Malade
ACCTT.ACCTT-TEM;Témoin
ACCTT.000;INHIBITEUR SUR LE TEMPS DE THROMBINE
ACCTT.005;INHIBITEUR SUR LE TEMPS DE THROMBINE
ACCTT.010;------------------------------------
ACCTT.015;SANS INCUBATION ?
ACCTT.020;*LIGNE BLANCHE
ACCTT.025;*     SANS INCUBATION
ACCTT.030;Temps temoin. . . . . . . . .
ACCTT.035;Temps temoin + malade. . . . .
ACCTT.040;Temps malade. . . . . . . . .
ACCTT.045;1H A 37 DEGRES ?
ACCTT.050;*LIGNE BLANCHE
ACCTT.055;*     APRES 1H.A 37 DEGRES
ACCTT.060;Temps temoin. . . . . . . . .
ACCTT.065;Temps temoin + malade. . . . .
