TYPEANA;TYPEANA_LABEL
BG_ADNFT.BG_ADNFT_PVT;PCR Francisella tularensis - Nature pvt calculée
BG_ADNFT.BG_ADNFT_RES;PCR Francisella tularensis - Résultat
BG_ADNFT.BG_ADNFT_ST;PCR Francisella tularensis - Statut
BG_ADNFT.BG_ADNFT_TEC;PCR Francisella tularensis - Technique
BG_ADNGON.BG_ADNGON_COM;PCR Neisseria gonorrhoeae - Commentaire
BG_ADNGON.BG_ADNGON_NAT;PCR Neisseria gonorrhoeae - Nature
BG_ADNGON.BG_ADNGONO_CT;PCR Neisseria gonorrhoeae - opA Ct
BG_ADNGON.BG_ADNGONO_CTS;PCR Neisseria gonorrhoeae - opA Ct souche
BG_ADNGON.BG_ADNGONP_CT;PCR Neisseria gonorrhoeae - porA Ct
BG_ADNGON.BG_ADNGONP_CTS;PCR Neisseria gonorrhoeae - porA Ct souche
BG_ADNGON.BG_ADNGON_PVT;PCR Neisseria gonorrhoeae - Nature pvt calculée
BG_ADNGON.BG_ADNGON_RES;PCR Neisseria gonorrhoeae - Résultat
BG_ADNGON.BG_ADNGON_ST;PCR Neisseria gonorrhoeae - Statut
BG_ADNGON.BG_ADNGON_TEC;PCR Neisseria gonorrhoeae - Technique
BG_ADNK.BG_ADNK_COM;PCR Kingella kingae - Commentaire
BG_ADNK.BG_ADNK_CT;PCR Kingella kingae - Ct
BG_ADNK.BG_ADNK_CTS;PCR Kingella kingae - Ct souche
BG_ADNK.BG_ADNK_NAT;PCR Kingella kingae - Nature de prélèvement
BG_ADNK.BG_ADNK_PVT;PCR Kingella kingae - Nature pvt caculée
BG_ADNK.BG_ADNK_RES;PCR Kingella kingae - Résultat
BG_ADNK.BG_ADNK_ST;PCR Kingella kingae - Statut
BG_ADNK.BG_ADNK_TEC;PCR Kingella kingae - Technique
BG_ADNL.BG_ADNL_COM;PCR Listeria monocytogenes - Commentaire
BG_ADNL.BG_ADNL_CT;PCR Listeria monocytogenes - Ct
BG_ADNL.BG_ADNL_CTS;PCR Listeria monocytogenes - Ct souche
BG_ADNL.BG_ADNL_NAT;PCR Listeria monocytogenes - Nature de prélèvement
BG_ADNL.BG_ADNL_PVT;PCR Listeria monocytogenes - Nature pvt calculée
BG_ADNL.BG_ADNL_RES;PCR Listeria monocytogenes - Résultat
BG_ADNL.BG_ADNL_ST;PCR Listeria monocytogenes - Statut
BG_ADNL.BG_ADNL_TEC;PCR Listeria monocytogenes - Technique
BG_ADNLEP.BG_ADNLEP_COM;PCR Leptospira sp - Commentaire
BG_ADNLEP.BG_ADNLEPLF_CT;PCR Leptospira sp - LFB Ct
BG_ADNLEP.BG_ADNLEPLF_CTS;PCR Leptospira sp - LFB Ct souche
BG_ADNLEP.BG_ADNLEPLI_CT;PCR Leptospira sp - LipL Ct
BG_ADNLEP.BG_ADNLEPLI_CTS;PCR Leptospira sp - LipL Ct souche
