SEJUF;SEJUF_LABEL
9010;GEST STOCK ALIMENTAT
9950;UCP LIQUIDATION IMMO
1563;DISTRIBUTION UCP
1577;ASSIST.HOTEL.UCP
1541;INTERNAT HCN
1542;INTERNAT ST JULIEN
1543;INTERNAT BG
9500;MAGASIN  PHARMACIE
3160;CENTRE SPEC.OBESITE
U006;UCPA KANGOUROU BELV
U007;SUIT COUCHE 3E BELV
U008;POUPONN BLEUE BELV
U009;POUPONN ROUGE BELV
U010;POUPONN VERTE BELV
1157;MEDECINE DU TRAVAIL
1162;MED.TRAVAIL PERS.MED
6111;CHIR.PLASTIQUE MAIN
6112;ORTHO.TRAUM. U30
6113;ORTHO.TRAUM.3EME DV2
5532;CARDIOLOGIE. S.I.
5562;NEPHRO.HOSP.COMPLETE
5563;NEPHROLOGIE SC
U011;UCPA SELF BELVEDERE
U012;UCPA AMBU BELVEDERE
U021;UCPA C1 BOIS PETIT
U022;UCPA C2 BOIS PETIT
U023;UCPA C3 BOIS PETIT
U024;UCPA GV RDC B PETIT
U025;UCPA GV1 BOIS PETIT
U026;UCPA ST EX  B PETIT
U027;UCPA CHARCOT B PETIT
U028;UCPA USSR BOIS PETIT
U029;UCPA P2 BOIS PETIT
U030;UCPA P3 BOIS PETIT
U031;UCPA SELF BOIS PETIT
5203;MED INTERNE POLYV 2
5204;MED INTERNE POLYV 1
9640;REGUL BUDGET H RECUP
5124;MED.INT.VASC.THROMB.
5133;ENDOCRINO.HOSP.SEM.
5100;MEDECINE INTERNE 3
5120;MEDECINE INTERNE 1
2941;MAISON DES ENFANTS
5712;MED INT REA UNITE 80
5713;MED INT REA UNITE 81
5714;MED INT REA UNITE 82
5715;MED INT REA SEVRAGE
5716;MED INT REA HEMODIAL
1173;PERIODE PREP RECLASS
5130;ENDOCRINO.DIABETE
1171;LOGIST TRANSP DISTRI
1196;LOGIST SOINS DAHLIB
5594;PNEUMO DAVIEL SEM
U034;UCPA MR ST ANTOINE
2660;MED INT REA P TISSUS
5710;MED INTENSIVE REANIM
5136;DIABETOLOGIE HOSP.
5152;MEDECINE GER B UPOG
5154;MEDECINE GERIA BG
5201;GERIATRIE AIGUE 3 SJ
6161;GYNECO-OBS.GYNECO.1
6163;GYNECO-OBS.OBSTET.1
5596;PNEUMOLOGIE DEPIERRE
5602;NEONATALOGIE SI 3EME
6166;GYNECO-OBS.GR.PATHO.
6167;GYNECO-OBS.OBSTET.2
6182;ORL 1ER ETAGE DEVE2
1191;DIR APPUI STRAT PROJ
5210;GERIATRIE AIGUE 1 SJ
5652;NEURO.UNITE 50 SEM.
6241;CHIR CARDIAQUE SC
6245;CHIR CARDIAQUE HC
6202;NEUROCHIR.6EME DV2
5603;NEONATALOGIE SI 4EME
5604;NEONATALOGIE 3EME
5605;NEONATALOGIE 4EME
5607;UNITE KANGOUROU
6203;INSTITUT RACHIS
6204;REA.NEUROCHIRURGIE
